x,rho
3.6795519879969993,0.08293415583766506
3.681552288072018,0.08291209108475435
3.6835525881470366,0.08289004112801027
3.6855528882220554,0.08286800595067548
3.6875531882970742,0.08284598553602003
3.689553488372093,0.08282397986734125
3.691553788447112,0.08280198892796374
3.6935540885221307,0.08278001270123925
3.695554388597149,0.08275805117054665
3.697554688672168,0.08273610431929189
3.699554988747187,0.08271417213090795
3.7015552888222056,0.08269225458885471
3.7035555888972245,0.08267035167661897
3.705555888972243,0.08264846337771435
3.7075561890472617,0.08262658967568128
3.7095564891222805,0.08260473055408686
3.7115567891972994,0.08258288599652486
3.713557089272318,0.08256105598661569
3.715557389347337,0.08253924050800626
3.7175576894223554,0.08251743954437002
3.7195579894973743,0.08249565307940679
3.721558289572393,0.08247388109684282
3.723558589647412,0.08245212358043069
3.7255588897224308,0.08243038051394917
3.727559189797449,0.0824086518812033
3.729559489872468,0.08238693766602428
3.731559789947487,0.08236523785226936
3.7335600900225057,0.08234355242382185
3.7355603900975245,0.08232188136459108
3.7375606901725433,0.08230022465851225
3.7395609902475617,0.08227858228954647
3.7415612903225806,0.0822569542416807
3.7435615903975994,0.08223534049892757
3.7455618904726182,0.08221374104532551
3.747562190547637,0.0821921558649386
3.7495624906226555,0.08217058494185647
3.7515627906976743,0.08214902826019434
3.753563090772693,0.08212748580409288
3.755563390847712,0.08210595755771827
3.757563690922731,0.08208444350526199
3.7595639909977496,0.0820629436309409
3.761564291072768,0.08204145791899715
3.763564591147787,0.0820199863536981
3.7655648912228057,0.08199852891933626
3.7675651912978245,0.08197708560022927
3.7695654913728434,0.08195565638071985
3.7715657914478617,0.0819342412451757
3.7735660915228806,0.08191284017798954
3.7755663915978994,0.08189145316357893
3.7775666916729183,0.0818700801863863
3.779566991747937,0.08184872123087891
3.781567291822956,0.08182737628154876
3.7835675918979743,0.08180604532291252
3.785567891972993,0.08178472833951154
3.787568192048012,0.08176342531591174
3.789568492123031,0.08174213623670362
3.7915687921980497,0.0817208610865021
3.7935690922730685,0.08169959984994661
3.795569392348087,0.08167835251170093
3.7975696924231057,0.08165711905645319
3.7995699924981245,0.08163589946891582
3.8015702925731434,0.08161469373382545
3.803570592648162,0.08159350183594291
3.8055708927231806,0.08157232376005319
3.8075711927981994,0.08155115949096534
3.8095714928732183,0.08153000901351241
3.811571792948237,0.08150887231255151
3.813572093023256,0.0814877493729636
3.815572393098275,0.0814666401796536
3.817572693173293,0.08144554471755025
3.819572993248312,0.08142446297160598
3.821573293323331,0.08140339492679709
3.8235735933983497,0.08138234056812346
3.8255738934733685,0.08136129988060867
3.827574193548387,0.08134027284929984
3.8295744936234057,0.08131925945926767
3.8315747936984246,0.08129825969560633
3.8335750937734434,0.08127727354343343
3.8355753938484622,0.08125630098788995
3.837575693923481,0.08123534201414026
3.8395759939984995,0.08121439660737198
3.8415762940735183,0.08119346475279599
3.843576594148537,0.08117254643564638
3.845576894223556,0.08115164164118038
3.847577194298575,0.08113075035467832
3.849577494373593,0.08110987256144359
3.851577794448612,0.08108900824680257
3.853578094523631,0.08106815739610464
3.8555783945986497,0.08104731999472203
3.8575786946736685,0.08102649602804991
3.8595789947486874,0.08100568548150619
3.8615792948237058,0.08098488834053161
3.8635795948987246,0.08096410459058961
3.8655798949737434,0.08094333421716629
3.8675801950487623,0.08092257720577041
3.869580495123781,0.08090183354193328
3.8715807951987995,0.08088110321120881
3.8735810952738183,0.08086038619917332
3.875581395348837,0.08083968249142562
3.877581695423856,0.0808189920735869
3.879581995498875,0.08079831493130075
3.8815822955738937,0.080777651050233
3.883582595648912,0.0807570004160718
3.885582895723931,0.08073636301452744
3.8875831957989497,0.08071573883133247
3.8895834958739686,0.08069512785224148
3.8915837959489874,0.08067453006303121
3.893584096024006,0.08065394544950041
3.8955843960990246,0.08063337399746981
3.8975846961740435,0.08061281569278204
3.8995849962490623,0.08059227052130175
3.901585296324081,0.08057173846891531
3.9035855963991,0.080551219521531
3.9055858964741184,0.08053071366507883
3.907586196549137,0.0805102208855105
3.909586496624156,0.08048974116879944
3.911586796699175,0.08046927450094067
3.9135870967741937,0.08044882086795084
3.915587396849212,0.0804283802558681
3.917587696924231,0.08040795265075214
3.9195879969992498,0.08038753803868409
3.9215882970742686,0.08036713640576651
3.9235885971492874,0.0803467477381233
3.9255888972243063,0.0803263720218997
3.9275891972993247,0.08030600924326226
3.9295894973743435,0.08028565938839874
3.9315897974493623,0.0802653224435181
3.933590097524381,0.08024499839485048
3.9355903975994,0.0802246872286471
3.9375906976744184,0.08020438893118029
3.939590997749437,0.08018410348874336
3.941591297824456,0.08016383088765063
3.943591597899475,0.08014357111423737
3.9455918979744937,0.08012332415485973
3.9475921980495126,0.08010308999589474
3.949592498124531,0.08008286862374023
3.95159279819955,0.08006266002481478
3.9535930982745686,0.08004246418555779
3.9555933983495875,0.08002228109242925
3.9575936984246063,0.08000211073190983
3.959593998499625,0.07998195309050084
3.9615942985746435,0.07996180815472412
3.9635945986496623,0.07994167591112204
3.965594898724681,0.07992155634625749
3.9675951987997,0.07990144944671373
3.969595498874719,0.0798813551990945
3.9715957989497372,0.07986127359002387
3.973596099024756,0.0798412046061462
3.975596399099775,0.07982114823412614
3.9775966991747937,0.07980110446064861
3.9795969992498126,0.07978107327241873
3.9815972993248314,0.07976105465616172
3.98359759939985,0.07974104859862298
3.9855978994748686,0.07972105508656793
3.9875981995498875,0.07970107410678208
3.9895984996249063,0.07968110564607091
3.991598799699925,0.07966114969125988
3.9935990997749435,0.07964120622919431
3.9955993998499624,0.07962127524673945
3.997599699924981,0.07960135673078039
3.9996,0.079581450668222
